Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
156,Proud Mary,"$21,753,365","$20,877,013",96%,"$876,352",4%,2018.csv,2018
157,The Prodigy,"$21,150,265","$14,856,291",70.2%,"$6,293,974",29.8%,2018.csv,2018
158,Gonjiam: Haunted Asylum,"$21,041,950","$115,252",0.5%,"$20,926,698",99.5%,2018.csv,2018
159,My Hero Academia: Two Heroes,"$21,022,724","$5,754,556",27.4%,"$15,268,168",72.6%,2018.csv,2018
160,SuperFly,"$20,780,685","$20,545,116",98.9%,"$235,569",1.1%,2018.csv,2018
161,If Beale Street Could Talk,"$20,596,567","$14,915,773",72.4%,"$5,680,794",27.6%,2018.csv,2018
162,Burn the Stage: The Movie,"$20,347,513","$4,201,819",20.7%,"$16,145,694",79.3%,2018.csv,2018
163,Cold War 2018 Re-release,"$20,285,066","$4,580,048",22.6%,"$15,705,018",77.4%,2018.csv,2018
164,The Wife,"$19,978,189","$9,601,092",48.1%,"$10,377,097",51.9%,2018.csv,2018
165,Everybody Knows,"$19,176,163","$2,660,165",13.9%,"$16,515,998",86.1%,2018.csv,2018
166,They Shall Not Grow Old 2018 Re-release,"$19,130,011","$17,956,913",93.9%,"$1,173,098",6.1%,2018.csv,2018
167,Oolong Courtyard: KungFu School,"$19,129,015","$37,727",0.2%,"$19,091,288",99.8%,2018.csv,2018
168,Detective K: Secret of the Living Dead,"$18,603,476","$104,013",0.6%,"$18,499,463",99.4%,2018.csv,2018
169,Airpocalypse,"$18,491,089","$105,678",0.6%,"$18,385,411",99.4%,2018.csv,2018
170,Chappaquiddick,"$18,263,470","$17,395,520",95.2%,"$867,950",4.8%,2018.csv,2018
171,Sorry to Bother You,"$18,170,707","$17,493,096",96.3%,"$677,611",3.7%,2018.csv,2018
172,Hell Fest,"$18,159,691","$11,107,431",61.2%,"$7,052,260",38.8%,2018.csv,2018
173,The Old Man & the Gun,"$17,860,397","$11,277,120",63.1%,"$6,583,277",36.9%,2018.csv,2018
174,The Children Act,"$17,696,794","$547,750",3.1%,"$17,149,044",96.9%,2018.csv,2018
175,Operation Finale,"$17,612,099","$17,612,099",100%,-,-,2018.csv,2018
176,Loving Pablo,"$17,535,962","$22,017",0.1%,"$17,513,945",99.9%,2018.csv,2018
177,102 Not Out,"$16,758,596","$1,343,797",8%,"$15,414,799",92%,2018.csv,2018
178,Beautiful Boy,"$16,636,604","$7,649,973",46%,"$8,986,631",54%,2018.csv,2018
179,Upgrade,"$16,593,554","$11,977,130",72.2%,"$4,616,424",27.8%,2018.csv,2018
180,Forever My Girl,"$16,376,066","$16,376,066",100%,-,-,2018.csv,2018
181,Unfriended: Dark Web,"$16,024,987","$8,866,745",55.3%,"$7,158,242",44.7%,2018.csv,2018
182,Finding Your Feet,"$15,845,593","$1,418,682",9%,"$14,426,911",91%,2018.csv,2018
183,Feng Shui,"$15,702,302","$64,147",0.4%,"$15,638,155",99.6%,2018.csv,2018
184,Tully,"$15,636,462","$9,369,755",59.9%,"$6,266,707",40.1%,2018.csv,2018
185,The Negotiation,"$15,229,193","$110,986",0.7%,"$15,118,207",99.3%,2018.csv,2018
186,RBG,"$14,441,292","$14,017,361",97.1%,"$423,931",2.9%,2018.csv,2018
187,Eighth Grade,"$14,347,433","$13,539,709",94.4%,"$807,724",5.6%,2018.csv,2018
188,Thugs of Hindostan,"$14,341,431","$1,449,848",10.1%,"$12,891,583",89.9%,2018.csv,2018
189,Unsane,"$14,293,601","$7,732,899",54.1%,"$6,560,702",45.9%,2018.csv,2018
190,Colette,"$14,273,033","$5,137,622",36%,"$9,135,411",64%,2018.csv,2018
191,Ya veremos,"$14,134,723","$4,165,949",29.5%,"$9,968,774",70.5%,2018.csv,2018
192,The Quake,"$13,837,294","$6,235",<0.1%,"$13,831,059",100%,2018.csv,2018
193,Three Identical Strangers,"$13,448,497","$12,320,845",91.6%,"$1,127,652",8.4%,2018.csv,2018
194,Hotel Artemis,"$13,313,581","$6,708,147",50.4%,"$6,605,434",49.6%,2018.csv,2018
195,The Sisters Brothers,"$13,143,056","$3,143,056",23.9%,"$10,000,000",76.1%,2018.csv,2018
196,Welcome to Marwen,"$13,061,491","$10,763,520",82.4%,"$2,297,971",17.6%,2018.csv,2018
197,Take Point,"$12,908,032","$112,386",0.9%,"$12,795,646",99.1%,2018.csv,2018
198,Luis and the Aliens,"$12,627,729","$169,710",1.3%,"$12,458,019",98.7%,2018.csv,2018
199,Can You Ever Forgive Me?,"$12,442,161","$8,803,865",70.8%,"$3,638,296",29.2%,2018.csv,2018
200,Rampant,"$12,359,573","$167,937",1.4%,"$12,191,636",98.6%,2018.csv,2018
201,Tall Tales from the Magical Garden of Antoon Krings 2018 Re-release,"$12,353,849",$220,<0.1%,"$12,353,629",100%,2018.csv,2018
202,Little Women,"$12,165,890","$1,379,497",11.3%,"$10,786,393",88.7%,2018.csv,2018
203,Boy Erased,"$11,853,081","$6,788,692",57.3%,"$5,064,389",42.7%,2018.csv,2018
204,Unstoppable,"$11,845,347","$101,417",0.9%,"$11,743,930",99.1%,2018.csv,2018
205,Last Letter,"$11,834,622","$180,946",1.5%,"$11,653,676",98.5%,2018.csv,2018
206,Ash Is Purest White,"$11,813,509","$422,814",3.6%,"$11,390,695",96.4%,2018.csv,2018
207,Ballon,"$11,799,591","$34,222",0.3%,"$11,765,369",99.7%,2018.csv,2018
208,King of Thieves,"$11,353,515","$7,518",<0.1%,"$11,345,997",99.9%,2018.csv,2018
209,At Eternity's Gate,"$11,261,585","$2,294,915",20.4%,"$8,966,670",79.6%,2018.csv,2018
210,La boda de Valentina,"$11,021,794","$2,783,739",25.3%,"$8,238,055",74.7%,2018.csv,2018
211,Gringo,"$11,001,627","$4,969,853",45.2%,"$6,031,774",54.8%,2018.csv,2018
212,2.0,"$10,847,903","$4,152,000",38.3%,"$6,695,903",61.7%,2018.csv,2018
213,Golden Slumber,"$10,733,326","$94,450",0.9%,"$10,638,876",99.1%,2018.csv,2018
214,Red Joan,"$10,647,493","$1,579,730",14.8%,"$9,067,763",85.2%,2018.csv,2018
215,Every Day,"$10,421,847","$6,102,076",58.6%,"$4,319,771",41.4%,2018.csv,2018
216,Swing Kids,"$10,397,408","$222,001",2.1%,"$10,175,407",97.9%,2018.csv,2018
217,Lobster Cop,"$10,373,129","$85,693",0.8%,"$10,287,436",99.2%,2018.csv,2018
218,Kin,"$10,313,019","$5,718,096",55.4%,"$4,594,923",44.6%,2018.csv,2018
219,Girls vs Gangsters,"$10,265,819","$37,115",0.4%,"$10,228,704",99.6%,2018.csv,2018
220,The Miracle Season,"$10,230,620","$10,230,620",100%,-,-,2018.csv,2018
221,Ben Is Back,"$10,134,204","$3,703,184",36.5%,"$6,431,020",63.5%,2018.csv,2018
222,Papillon,"$10,060,903","$2,335,896",23.2%,"$7,725,007",76.8%,2018.csv,2018
223,The Princess and the Matchmaker,"$9,899,017","$78,900",0.8%,"$9,820,117",99.2%,2018.csv,2018
224,Simmba,"$9,865,268","$5,102,129",51.7%,"$4,763,139",48.3%,2018.csv,2018
225,Traffik,"$9,515,914","$9,186,156",96.5%,"$329,758",3.5%,2018.csv,2018
226,Replicas,"$9,330,075","$4,046,429",43.4%,"$5,283,646",56.6%,2018.csv,2018
227,Mid90s,"$9,303,022","$7,362,439",79.1%,"$1,940,583",20.9%,2018.csv,2018
228,Champion,"$8,974,547","$97,472",1.1%,"$8,877,075",98.9%,2018.csv,2018
229,7 Days in Entebbe,"$8,771,432","$3,326,885",37.9%,"$5,444,547",62.1%,2018.csv,2018
230,Pope Francis: A Man of His Word,"$8,608,385","$2,008,385",23.3%,"$6,600,000",76.7%,2018.csv,2018
231,A-X-L,"$8,467,697","$6,501,381",76.8%,"$1,966,316",23.2%,2018.csv,2018
232,Disobedience,"$8,003,180","$3,498,782",43.7%,"$4,504,398",56.3%,2018.csv,2018
233,Life Itself,"$7,997,774","$4,102,648",51.3%,"$3,895,126",48.7%,2018.csv,2018
234,Suspiria,"$7,942,093","$2,483,472",31.3%,"$5,458,621",68.7%,2018.csv,2018
235,Qué León,"$7,807,916","$2,607,916",33.4%,"$5,200,000",66.6%,2018.csv,2018
236,Amazing Grace,"$7,796,112","$4,450,456",57.1%,"$3,345,656",42.9%,2018.csv,2018
237,Leave No Trace,"$7,682,928","$6,046,104",78.7%,"$1,636,824",21.3%,2018.csv,2018
238,Pandas,"$7,635,778","$7,574,012",99.2%,"$61,766",0.8%,2018.csv,2018
239,Burning,"$7,566,962","$718,991",9.5%,"$6,847,971",90.5%,2018.csv,2018
240,Beirut,"$7,509,436","$5,019,226",66.8%,"$2,490,210",33.2%,2018.csv,2018
241,God's Not Dead: A Light in Darkness,"$7,414,178","$5,728,940",77.3%,"$1,685,238",22.7%,2018.csv,2018
242,Return of the Hero,"$7,362,730","$37,108",0.5%,"$7,325,622",99.5%,2018.csv,2018
243,In Safe Hands,"$7,086,596","$1,737",<0.1%,"$7,084,859",100%,2018.csv,2018
244,Dog Days,"$6,819,044","$6,809,080",99.9%,"$9,964",0.1%,2018.csv,2018
245,Race 3,"$6,817,391","$1,690,861",24.8%,"$5,126,530",75.2%,2018.csv,2018
246,Fahrenheit 11/9,"$6,674,168","$6,352,306",95.2%,"$321,862",4.8%,2018.csv,2018
247,Soorma,"$6,579,645","$390,077",5.9%,"$6,189,568",94.1%,2018.csv,2018
248,Gotti,"$6,412,349","$4,343,227",67.7%,"$2,069,122",32.3%,2018.csv,2018
249,Unbroken: Path to Redemption,"$6,216,897","$6,216,897",100%,-,-,2018.csv,2018
250,Ploey,"$6,146,292","$77,815",1.3%,"$6,068,477",98.7%,2018.csv,2018
251,Mobile Suit Gundam Narrative,"$6,126,259","$259,224",4.2%,"$5,867,035",95.8%,2018.csv,2018
252,Death of a Nation,"$5,885,881","$5,885,881",100%,-,-,2018.csv,2018
253,Incident in a Ghostland,"$5,643,957",-,-,"$5,643,957",100%,2018.csv,2018
254,El Angel,"$5,604,680","$109,608",2%,"$5,495,072",98%,2018.csv,2018
255,Destroyer,"$5,580,940","$1,533,324",27.5%,"$4,047,616",72.5%,2018.csv,2018
256,A Wizard's Tale,"$5,487,261","$2,150",<0.1%,"$5,485,111",100%,2018.csv,2018
257,Never Look Away,"$5,156,805","$1,304,042",25.3%,"$3,852,763",74.7%,2018.csv,2018
258,Action Point,"$5,103,663","$5,059,608",99.1%,"$44,055",0.9%,2018.csv,2018
259,Dogman,"$5,080,147","$148,225",2.9%,"$4,931,922",97.1%,2018.csv,2018
260,Blindspotting,"$5,006,989","$4,333,394",86.5%,"$673,595",13.5%,2018.csv,2018
261,Sgt. Stubby: An American Hero,"$4,932,694","$4,015,935",81.4%,"$916,759",18.6%,2018.csv,2018
262,Samson,"$4,873,825","$4,719,928",96.8%,"$153,897",3.2%,2018.csv,2018
263,Hamlet 2018 Re-release,"$4,630,718","$235,229",5.1%,"$4,395,489",94.9%,2018.csv,2018
264,Bad Samaritan,"$4,623,836","$3,435,047",74.3%,"$1,188,789",25.7%,2018.csv,2018
265,Whitney,"$4,605,123","$3,026,351",65.7%,"$1,578,772",34.3%,2018.csv,2018
266,The Guilty,"$4,598,051","$207,140",4.5%,"$4,390,911",95.5%,2018.csv,2018
267,"Juliet, Naked","$4,508,260","$3,444,895",76.4%,"$1,063,365",23.6%,2018.csv,2018
268,Woman at War,"$4,471,158","$847,495",19%,"$3,623,663",81%,2018.csv,2018
