Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
647,The Miseducation of Cameron Post,1451729,904703,547026,2018.csv,2018,62.3%,37.7%
648,The Dawn Wall 2018 Re-release,1442013,970032,471981,2018.csv,2018,67.3%,32.7%
649,It 2019 Re-release,1414696,1347126,67570,2019.csv,2019,95.2%,4.8%
650,El Chicano,1404646,1400603,4043,2019.csv,2019,99.7%,0.3%
651,Vox Lux,1399272,727119,672153,2018.csv,2018,52%,48%
652,Sometimes Always Never,1377856,0,1377856,2018.csv,2018,-,100%
653,Swimming with Men,1377748,24708,1353040,2018.csv,2018,1.8%,98.2%
654,For Sama,1374201,43796,1330405,2019.csv,2019,3.2%,96.8%
655,Little Italy,1362536,990230,372306,2018.csv,2018,72.7%,27.3%
656,Alien 2019 Re-release,1356259,833658,522601,2019.csv,2019,61.5%,38.5%
657,Foxtrot,1356159,618883,737276,2018.csv,2018,45.6%,54.4%
658,Mandy,1335484,1214525,120959,2018.csv,2018,90.9%,9.1%
659,The Metropolitan Opera HD Live: Rossini: Semiramide,1332900,1033651,299249,2018.csv,2018,77.5%,22.5%
660,The Metropolitan Opera HD Live: Mozart: Così fan tutte,1302949,1302949,0,2018.csv,2018,100%,-
661,Roger Waters - Us + Them,1294480,611644,682836,2019.csv,2019,47.3%,52.7%
662,The Cakemaker,1287568,875751,411817,2018.csv,2018,68%,32%
663,Shed Skin Papa,1278065,13331,1264734,2018.csv,2018,1%,99%
664,Yellow Submarine,1273261,992305,280956,2018.csv,2018,77.9%,22.1%
665,Beautifully Broken,1271572,1209645,61927,2018.csv,2018,95.1%,4.9%
666,Fagara,1265949,43417,1222532,2019.csv,2019,3.4%,96.6%
667,Batla House,1264337,493180,771157,2019.csv,2019,39%,61%
668,Guy,1257937,1319,1256618,2018.csv,2018,0.1%,99.9%
669,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,1226552,1226552,0,2019.csv,2019,100%,-
670,The Captain,1196669,109226,1087443,2018.csv,2018,9.1%,90.9%
671,The Metropolitan Opera HD Live: Saint-Saëns: Samson et Dalila,1195758,1195758,0,2018.csv,2018,100%,-
672,Kingdom Men Rising,1188936,1188936,0,2019.csv,2019,100%,-
673,Los Domirriqueños 2,1187280,1187280,0,2019.csv,2019,100%,-
674,National Theater Live: Cyrano de Bergerac,1173512,86300,1087212,2019.csv,2019,7.4%,92.6%
675,The Metropolitan Opera HD Live: Verdi: Luisa Miller,1166858,1166858,0,2018.csv,2018,100%,-
676,Elliot the Littlest Reindeer 2018 Re-release,1142187,24262,1117925,2018.csv,2018,2.1%,97.9%
677,Honeyland,1140879,815082,325797,2019.csv,2019,71.4%,28.6%
678,Roma,1140769,0,1140769,2018.csv,2018,-,100%
679,The Song of Names,1138700,1077584,61116,2019.csv,2019,94.6%,5.4%
680,Look Away,1119537,0,1119537,2018.csv,2018,-,100%
681,The Metropolitan Opera HD Live: Donizetti: L'Elisir d'Amore,1115018,1115018,0,2018.csv,2018,100%,-
682,My Neighbor Totoro 2019 Re-release,1105564,1105564,0,2019.csv,2019,100%,-
683,El Coyote,1101470,1101470,0,2019.csv,2019,100%,-
684,The Goonies 2019 Re-release,1089463,864378,225085,2019.csv,2019,79.3%,20.7%
685,The Sky Is Pink,1088641,652592,436049,2019.csv,2019,59.9%,40.1%
686,Sunset,1083299,164906,918393,2018.csv,2018,15.2%,84.8%
687,Jesus Is King,1082629,973000,109629,2019.csv,2019,89.9%,10.1%
688,Mystify: Michael Hutchence,1082456,289573,792883,2019.csv,2019,26.8%,73.2%
689,Bennett's War,1056416,1056416,0,2019.csv,2019,100%,-
690,The Dark Crystal 2018 Re-release,1036956,1036956,0,2018.csv,2018,100%,-
691,Noah: The Musical,1035603,1035603,0,2019.csv,2019,100%,-
692,The Metropolitan Opera HD Live: Puccini: La Fanciulla del West,1023233,1023233,0,2018.csv,2018,100%,-
693,Husband Material,1016545,567417,449128,2018.csv,2018,55.8%,44.2%
694,Elvis: The Comeback Special,1010657,1010657,0,2018.csv,2018,100%,-
695,Cold Blood,1009888,5083,1004805,2019.csv,2019,0.5%,99.5%
696,Kiki's Delivery Service 2019 Re-release,1004057,1004057,0,2019.csv,2019,100%,-
